,GEO_ID,NAME,H016H001,H016H002,H016H003,H016H004,H016H005,H016H006,H016H007,H016H008,H016H009,H016H010,H016H011,H016H012,H016H013,H016H014,H016H015,H016H016,H016H017
0,id,Geographic Area Name,Total,Total!!Owner occupied,Total!!Owner occupied!!1-person household,Total!!Owner occupied!!2-person household,Total!!Owner occupied!!3-person household,Total!!Owner occupied!!4-person household,Total!!Owner occupied!!5-person household,Total!!Owner occupied!!6-person household,Total!!Owner occupied!!7-or-more-person household,Total!!Renter occupied,Total!!Renter occupied!!1-person household,Total!!Renter occupied!!2-person household,Total!!Renter occupied!!3-person household,Total!!Renter occupied!!4-person household,Total!!Renter occupied!!5-person household,Total!!Renter occupied!!6-person household,Total!!Renter occupied!!7-or-more-person household
102,8710000US3610469,"ZCTA5 10469, New York",5196,1737,235,381,362,366,207,107,79,3459,823,849,689,534,311,144,109
103,8710000US3610470,"ZCTA5 10470, New York",835,183,43,38,46,31,12,4,9,652,168,168,129,92,55,22,18
104,8710000US3610471,"ZCTA5 10471, New York",1731,642,208,180,122,76,39,13,4,1089,375,322,194,119,51,19,9
105,8710000US3610472,"ZCTA5 10472, New York",13752,1519,263,380,309,254,154,81,78,12233,2862,2600,2388,1919,1264,583,617
106,8710000US3610473,"ZCTA5 10473, New York",11268,3119,407,763,665,589,363,174,158,8149,2043,1961,1572,1243,761,310,259
107,8710000US3610474,"ZCTA5 10474, New York",2573,197,48,40,33,36,13,12,15,2376,459,479,465,463,267,116,127
108,8710000US3610475,"ZCTA5 10475, New York",4553,2036,621,621,368,248,106,51,21,2517,812,743,407,325,136,62,32
109,8710000US3610501,"ZCTA5 10501, New York",16,15,1,4,3,2,3,0,2,1,0,0,0,1,0,0,0
110,8710000US3610502,"ZCTA5 10502, New York",93,68,6,15,18,17,9,2,1,25,11,2,4,6,1,0,1
111,8710000US3610503,"ZCTA5 10503, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,8710000US3610504,"ZCTA5 10504, New York",87,70,10,8,12,22,11,7,0,17,4,5,4,2,0,2,0
113,8710000US3610505,"ZCTA5 10505, New York",9,9,0,1,2,4,2,0,0,0,0,0,0,0,0,0,0
114,8710000US3610506,"ZCTA5 10506, New York",81,48,2,10,10,14,8,3,1,33,11,4,6,7,3,1,1
115,8710000US3610507,"ZCTA5 10507, New York",341,84,9,19,16,11,8,16,5,257,30,38,73,55,33,21,7
116,8710000US3610509,"ZCTA5 10509, New York",823,337,27,71,71,75,51,29,13,486,66,64,93,116,78,38,31
117,8710000US3610510,"ZCTA5 10510, New York",125,93,11,29,19,19,7,5,3,32,5,7,8,6,3,1,2
118,8710000US3610511,"ZCTA5 10511, New York",81,28,0,3,8,4,5,1,7,53,3,11,16,15,3,2,3
119,8710000US3610512,"ZCTA5 10512, New York",804,577,43,143,114,140,78,39,20,227,40,43,50,37,35,11,11
120,8710000US3610514,"ZCTA5 10514, New York",105,74,7,11,10,29,10,5,2,31,5,6,7,8,3,2,0
121,8710000US3610516,"ZCTA5 10516, New York",88,44,7,12,8,10,5,0,2,44,9,9,8,12,5,1,0
122,8710000US3610517,"ZCTA5 10517, New York",22,14,0,4,1,6,2,0,1,8,0,1,3,1,1,2,0
123,8710000US3610518,"ZCTA5 10518, New York",12,10,0,2,5,0,3,0,0,2,0,0,1,1,0,0,0
