,GEO_ID,NAME,H016D001,H016D002,H016D003,H016D004,H016D005,H016D006,H016D007,H016D008,H016D009,H016D010,H016D011,H016D012,H016D013,H016D014,H016D017,H016D015,H016D016
0,id,Geographic Area Name,Total,Total!!Owner occupied,Total!!Owner occupied!!1-person household,Total!!Owner occupied!!2-person household,Total!!Owner occupied!!3-person household,Total!!Owner occupied!!4-person household,Total!!Owner occupied!!5-person household,Total!!Owner occupied!!6-person household,Total!!Owner occupied!!7-or-more-person household,Total!!Renter occupied,Total!!Renter occupied!!1-person household,Total!!Renter occupied!!2-person household,Total!!Renter occupied!!3-person household,Total!!Renter occupied!!4-person household,Total!!Renter occupied!!7-or-more-person household,Total!!Renter occupied!!5-person household,Total!!Renter occupied!!6-person household
103,8710000US3610470,"ZCTA5 10470, New York",182,67,6,18,8,21,8,3,3,115,34,25,39,7,1,8,1
104,8710000US3610471,"ZCTA5 10471, New York",452,222,71,63,31,33,10,11,3,230,64,67,36,35,3,14,11
105,8710000US3610472,"ZCTA5 10472, New York",1031,417,32,56,70,90,71,35,63,614,81,108,109,142,40,94,40
106,8710000US3610473,"ZCTA5 10473, New York",272,182,10,39,40,42,28,9,14,90,22,24,10,15,5,9,5
107,8710000US3610474,"ZCTA5 10474, New York",18,5,1,0,2,2,0,0,0,13,4,2,2,0,2,2,1
108,8710000US3610475,"ZCTA5 10475, New York",203,99,32,31,13,12,4,7,0,104,29,44,9,12,1,5,4
109,8710000US3610501,"ZCTA5 10501, New York",9,9,1,3,2,0,1,1,1,0,0,0,0,0,0,0,0
110,8710000US3610502,"ZCTA5 10502, New York",224,191,7,30,49,64,25,13,3,33,0,6,7,15,0,3,2
111,8710000US3610503,"ZCTA5 10503, New York",2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
112,8710000US3610504,"ZCTA5 10504, New York",122,113,6,34,20,34,14,5,0,9,2,4,1,2,0,0,0
113,8710000US3610505,"ZCTA5 10505, New York",24,22,0,3,3,10,2,3,1,2,1,0,0,0,0,0,1
114,8710000US3610506,"ZCTA5 10506, New York",47,40,1,14,5,8,9,3,0,7,1,2,2,1,0,1,0
115,8710000US3610507,"ZCTA5 10507, New York",69,32,4,12,8,6,1,1,0,37,9,7,9,10,0,2,0
116,8710000US3610509,"ZCTA5 10509, New York",127,94,7,21,22,28,10,3,3,33,8,9,3,8,0,3,2
117,8710000US3610510,"ZCTA5 10510, New York",208,191,10,50,52,51,17,8,3,17,3,9,1,3,0,0,1
118,8710000US3610511,"ZCTA5 10511, New York",9,6,0,1,2,1,1,1,0,3,2,1,0,0,0,0,0
119,8710000US3610512,"ZCTA5 10512, New York",131,111,13,28,18,33,7,6,6,20,6,7,3,1,0,3,0
120,8710000US3610514,"ZCTA5 10514, New York",297,267,14,65,64,87,25,8,4,30,8,2,6,10,0,4,0
121,8710000US3610516,"ZCTA5 10516, New York",25,17,0,9,1,4,3,0,0,8,2,3,0,2,0,1,0
122,8710000US3610517,"ZCTA5 10517, New York",9,2,0,1,0,1,0,0,0,7,2,1,1,1,0,2,0
123,8710000US3610518,"ZCTA5 10518, New York",23,22,1,6,4,6,4,1,0,1,0,1,0,0,0,0,0
124,8710000US3610519,"ZCTA5 10519, New York",3,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
125,8710000US3610520,"ZCTA5 10520, New York",153,104,14,27,29,25,8,0,1,49,15,17,7,7,0,3,0
126,8710000US3610522,"ZCTA5 10522, New York",282,161,10,45,34,52,11,7,2,121,23,20,30,28,2,12,6
127,8710000US3610523,"ZCTA5 10523, New York",251,116,7,19,32,26,17,9,6,135,36,36,36,23,0,3,1
128,8710000US3610524,"ZCTA5 10524, New York",15,12,1,6,3,2,0,0,0,3,0,1,0,1,0,0,1
129,8710000US3610526,"ZCTA5 10526, New York",14,13,0,4,2,6,1,0,0,1,1,0,0,0,0,0,0
130,8710000US3610527,"ZCTA5 10527, New York",3,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
131,8710000US3610528,"ZCTA5 10528, New York",328,54,6,13,16,10,4,4,1,274,27,23,72,129,2,19,2
132,8710000US3610530,"ZCTA5 10530, New York",531,384,90,120,78,55,26,12,3,147,43,39,39,18,1,7,0
133,8710000US3610532,"ZCTA5 10532, New York",44,33,3,10,6,6,7,1,0,11,2,5,1,1,0,2,0
134,8710000US3610533,"ZCTA5 10533, New York",187,129,18,37,26,33,9,6,0,58,4,11,16,17,0,6,4
135,8710000US3610535,"ZCTA5 10535, New York",9,2,0,0,0,1,0,1,0,7,5,1,0,1,0,0,0
136,8710000US3610536,"ZCTA5 10536, New York",76,69,6,22,17,15,6,2,1,7,3,2,0,2,0,0,0
137,8710000US3610537,"ZCTA5 10537, New York",9,8,1,4,0,2,1,0,0,1,0,0,1,0,0,0,0
138,8710000US3610538,"ZCTA5 10538, New York",175,134,14,40,24,38,14,2,2,41,6,9,10,15,0,1,0
139,8710000US3610541,"ZCTA5 10541, New York",131,109,10,23,25,25,19,5,2,22,2,3,4,7,1,5,0
140,8710000US3610543,"ZCTA5 10543, New York",322,172,23,37,37,42,27,6,0,150,30,33,25,42,1,18,1
141,8710000US3610545,"ZCTA5 10545, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,8710000US3610546,"ZCTA5 10546, New York",46,42,4,11,5,19,2,1,0,4,1,0,1,2,0,0,0
143,8710000US3610547,"ZCTA5 10547, New York",94,79,1,16,21,24,13,4,0,15,1,0,8,3,0,2,1
144,8710000US3610548,"ZCTA5 10548, New York",26,24,7,2,7,4,3,1,0,2,2,0,0,0,0,0,0
145,8710000US3610549,"ZCTA5 10549, New York",237,174,21,44,38,51,12,6,2,63,25,13,9,12,0,4,0
146,8710000US3610550,"ZCTA5 10550, New York",185,74,10,11,18,17,11,6,1,111,33,32,17,17,1,7,4
147,8710000US3610552,"ZCTA5 10552, New York",239,144,40,42,20,27,6,7,2,95,40,27,10,10,2,6,0
148,8710000US3610553,"ZCTA5 10553, New York",24,13,0,4,5,2,0,2,0,11,4,3,2,2,0,0,0
149,8710000US3610560,"ZCTA5 10560, New York",15,14,1,4,3,4,2,0,0,1,0,0,0,1,0,0,0
150,8710000US3610562,"ZCTA5 10562, New York",486,278,38,96,54,54,18,11,7,208,66,44,45,35,0,16,2
151,8710000US3610566,"ZCTA5 10566, New York",221,156,28,37,38,31,4,13,5,65,8,16,15,15,6,3,2
152,8710000US3610567,"ZCTA5 10567, New York",242,227,13,51,60,70,14,12,7,15,5,2,4,2,1,1,0
153,8710000US3610570,"ZCTA5 10570, New York",190,155,7,45,38,38,17,5,5,35,8,6,10,6,0,2,3
154,8710000US3610573,"ZCTA5 10573, New York",325,210,23,67,55,41,16,6,2,115,19,32,22,31,1,9,1
155,8710000US3610576,"ZCTA5 10576, New York",32,29,9,6,7,3,4,0,0,3,1,1,1,0,0,0,0
156,8710000US3610577,"ZCTA5 10577, New York",20,15,0,5,7,2,1,0,0,5,0,1,1,2,0,1,0
157,8710000US3610578,"ZCTA5 10578, New York",6,5,1,2,1,0,1,0,0,1,0,1,0,0,0,0,0
158,8710000US3610579,"ZCTA5 10579, New York",43,42,4,10,11,10,3,2,2,1,0,0,0,0,0,0,1
159,8710000US3610580,"ZCTA5 10580, New York",297,141,7,46,23,46,15,1,3,156,18,10,48,65,1,14,0
160,8710000US3610583,"ZCTA5 10583, New York",1555,1201,93,258,273,382,130,42,23,354,34,49,105,135,1,25,5
161,8710000US3610588,"ZCTA5 10588, New York",24,17,3,3,1,6,2,2,0,7,3,2,2,0,0,0,0
162,8710000US3610589,"ZCTA5 10589, New York",85,72,10,22,21,16,3,0,0,13,1,3,1,8,0,0,0
163,8710000US3610590,"ZCTA5 10590, New York",47,44,5,11,9,11,6,2,0,3,1,0,1,1,0,0,0
164,8710000US3610591,"ZCTA5 10591, New York",408,185,29,62,35,38,14,6,1,223,48,66,51,39,6,9,4
165,8710000US3610594,"ZCTA5 10594, New York",59,48,2,15,12,9,5,4,1,11,5,3,2,1,0,0,0
166,8710000US3610595,"ZCTA5 10595, New York",148,57,1,15,11,20,7,3,0,91,19,32,17,21,0,2,0
