,GEO_ID,NAME,H016I001,H016I002,H016I003,H016I004,H016I005,H016I006,H016I007,H016I008,H016I009,H016I010,H016I011,H016I012,H016I013,H016I014,H016I015,H016I016,H016I017
0,id,Geographic Area Name,Total,Total!!Owner occupied,Total!!Owner occupied!!1-person household,Total!!Owner occupied!!2-person household,Total!!Owner occupied!!3-person household,Total!!Owner occupied!!4-person household,Total!!Owner occupied!!5-person household,Total!!Owner occupied!!6-person household,Total!!Owner occupied!!7-or-more-person household,Total!!Renter occupied,Total!!Renter occupied!!1-person household,Total!!Renter occupied!!2-person household,Total!!Renter occupied!!3-person household,Total!!Renter occupied!!4-person household,Total!!Renter occupied!!5-person household,Total!!Renter occupied!!6-person household,Total!!Renter occupied!!7-or-more-person household
130,8710000US3610527,"ZCTA5 10527, New York",269,251,16,82,41,71,36,3,2,18,5,4,2,5,1,0,1
131,8710000US3610528,"ZCTA5 10528, New York",3845,2588,548,832,433,452,228,80,15,1257,444,396,204,156,42,14,1
132,8710000US3610530,"ZCTA5 10530, New York",4453,3790,1467,1373,474,347,104,15,10,663,353,190,70,34,13,1,2
133,8710000US3610532,"ZCTA5 10532, New York",1552,1339,195,432,255,284,120,41,12,213,89,75,24,19,2,4,0
134,8710000US3610533,"ZCTA5 10533, New York",2408,1957,442,607,323,399,140,34,12,451,187,125,68,58,11,2,0
135,8710000US3610535,"ZCTA5 10535, New York",154,80,8,24,21,18,8,0,1,74,37,16,10,8,0,3,0
136,8710000US3610536,"ZCTA5 10536, New York",3305,2979,299,989,562,672,341,95,21,326,131,95,52,33,8,5,2
137,8710000US3610537,"ZCTA5 10537, New York",733,602,132,184,129,95,41,17,4,131,56,37,19,16,3,0,0
138,8710000US3610538,"ZCTA5 10538, New York",5486,4406,829,1334,720,970,454,79,20,1080,505,271,115,123,50,15,1
139,8710000US3610541,"ZCTA5 10541, New York",7994,6931,887,2112,1377,1519,726,214,96,1063,452,317,151,85,43,10,5
140,8710000US3610543,"ZCTA5 10543, New York",5460,3861,929,1247,656,642,299,70,18,1599,752,437,176,156,52,16,10
141,8710000US3610545,"ZCTA5 10545, New York",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
142,8710000US3610546,"ZCTA5 10546, New York",386,350,57,109,68,88,23,4,1,36,9,14,5,4,2,1,1
143,8710000US3610547,"ZCTA5 10547, New York",2013,1535,302,465,278,331,112,30,17,478,206,147,55,49,11,5,5
144,8710000US3610548,"ZCTA5 10548, New York",978,837,170,267,182,157,47,13,1,141,58,43,16,18,4,1,1
145,8710000US3610549,"ZCTA5 10549, New York",4408,3531,829,1217,541,580,268,69,27,877,405,235,125,56,24,7,25
146,8710000US3610550,"ZCTA5 10550, New York",1501,443,152,136,68,47,28,8,4,1058,447,314,165,81,38,8,5
147,8710000US3610552,"ZCTA5 10552, New York",4385,2542,956,869,328,248,102,26,13,1843,993,504,203,106,29,5,3
148,8710000US3610553,"ZCTA5 10553, New York",166,102,34,37,17,7,7,0,0,64,25,22,7,6,4,0,0
149,8710000US3610560,"ZCTA5 10560, New York",1533,1355,237,478,229,258,116,28,9,178,91,43,18,21,4,1,0
150,8710000US3610562,"ZCTA5 10562, New York",6171,4939,1244,1906,825,644,232,67,21,1232,636,352,137,76,19,6,6
151,8710000US3610566,"ZCTA5 10566, New York",4370,3064,1191,1098,435,231,71,28,10,1306,679,339,158,73,30,9,18
152,8710000US3610567,"ZCTA5 10567, New York",5234,4813,693,1514,964,1108,393,116,25,421,182,126,56,33,17,6,1
153,8710000US3610570,"ZCTA5 10570, New York",3674,3095,524,924,575,716,274,64,18,579,276,162,72,51,14,4,0
154,8710000US3610573,"ZCTA5 10573, New York",7111,5289,1405,1735,847,864,342,66,30,1822,889,504,217,148,45,10,9
155,8710000US3610576,"ZCTA5 10576, New York",1740,1579,221,602,259,321,139,28,9,161,71,47,17,17,7,1,1
156,8710000US3610577,"ZCTA5 10577, New York",723,682,78,239,116,149,74,22,4,41,9,17,5,3,5,0,2
157,8710000US3610578,"ZCTA5 10578, New York",215,196,31,55,41,47,17,4,1,19,8,8,2,1,0,0,0
158,8710000US3610579,"ZCTA5 10579, New York",2777,2501,393,867,478,451,215,69,28,276,87,96,48,29,12,4,0
159,8710000US3610580,"ZCTA5 10580, New York",5299,4152,708,1214,641,842,531,165,51,1147,541,265,111,144,68,15,3
160,8710000US3610583,"ZCTA5 10583, New York",11241,10040,1842,3193,1633,2070,1012,222,68,1201,501,307,146,172,61,11,3
161,8710000US3610588,"ZCTA5 10588, New York",708,536,77,181,109,97,50,15,7,172,97,38,16,13,5,3,0
162,8710000US3610589,"ZCTA5 10589, New York",3552,3286,1108,1388,311,337,116,18,8,266,120,82,39,18,5,2,0
163,8710000US3610590,"ZCTA5 10590, New York",2259,2070,331,680,409,435,164,43,8,189,80,57,30,14,6,2,0
164,8710000US3610591,"ZCTA5 10591, New York",5390,3435,950,1209,517,514,182,51,12,1955,942,654,207,107,33,9,3
165,8710000US3610594,"ZCTA5 10594, New York",1467,1295,163,424,265,269,128,33,13,172,71,40,31,21,6,1,2
166,8710000US3610595,"ZCTA5 10595, New York",2000,1540,254,500,280,330,119,45,12,460,214,122,44,65,13,2,0
167,8710000US3610596,"ZCTA5 10596, New York",602,378,78,138,63,64,24,8,3,224,99,62,31,26,4,2,0
168,8710000US3610597,"ZCTA5 10597, New York",312,291,21,104,63,63,34,6,0,21,7,7,3,1,2,0,1
169,8710000US3610598,"ZCTA5 10598, New York",9029,8005,1357,2486,1497,1705,704,180,76,1024,600,253,87,49,30,5,0
170,8710000US3610601,"ZCTA5 10601, New York",2946,1311,744,430,96,32,6,3,0,1635,958,531,94,36,12,2,2
171,8710000US3610603,"ZCTA5 10603, New York",3451,2513,874,844,357,291,106,31,10,938,472,281,99,54,20,7,5
172,8710000US3610604,"ZCTA5 10604, New York",2778,1957,387,597,360,347,190,55,21,821,300,235,142,107,30,5,2
173,8710000US3610605,"ZCTA5 10605, New York",5455,4764,1325,1791,701,600,269,63,15,691,360,184,65,47,23,8,4
174,8710000US3610606,"ZCTA5 10606, New York",2408,1462,387,508,228,215,93,23,8,946,442,315,101,61,21,3,3
175,8710000US3610607,"ZCTA5 10607, New York",994,907,211,337,173,126,38,17,5,87,34,33,12,5,1,1,1
176,8710000US3610701,"ZCTA5 10701, New York",7268,4064,1388,1340,582,421,187,82,64,3204,1467,905,420,228,97,56,31
177,8710000US3610703,"ZCTA5 10703, New York",3861,2400,733,796,393,278,128,42,30,1461,728,362,161,129,56,20,5
178,8710000US3610704,"ZCTA5 10704, New York",8873,4992,1501,1604,756,595,327,132,77,3881,1751,1176,501,285,110,43,15
179,8710000US3610705,"ZCTA5 10705, New York",4259,2179,639,757,318,247,128,56,34,2080,1102,472,240,129,77,36,24
180,8710000US3610706,"ZCTA5 10706, New York",2860,2126,475,686,405,402,128,23,7,734,371,200,105,38,16,4,0
181,8710000US3610707,"ZCTA5 10707, New York",3178,2181,558,714,307,360,167,63,12,997,494,270,116,81,23,10,3
182,8710000US3610708,"ZCTA5 10708, New York",7534,5952,2155,1889,741,689,327,122,29,1582,793,476,165,106,24,16,2
183,8710000US3610709,"ZCTA5 10709, New York",3142,2534,613,776,378,478,213,57,19,608,323,151,61,48,22,3,0
184,8710000US3610710,"ZCTA5 10710, New York",6232,4845,1416,1673,798,581,243,82,52,1387,787,351,132,73,30,7,7
185,8710000US3610801,"ZCTA5 10801, New York",5833,3202,947,996,544,466,177,44,28,2631,1375,674,296,195,57,25,9
186,8710000US3610803,"ZCTA5 10803, New York",3418,2882,467,785,554,628,331,90,27,536,196,164,88,54,26,5,3
187,8710000US3610804,"ZCTA5 10804, New York",4228,4030,718,1412,683,687,385,113,32,198,87,38,16,27,24,3,3
188,8710000US3610805,"ZCTA5 10805, New York",4348,2053,825,677,267,177,68,27,12,2295,1214,660,234,132,31,17,7
189,8710000US3610901,"ZCTA5 10901, New York",7302,5875,1324,1970,947,962,427,164,81,1427,863,320,123,71,30,12,8
190,8710000US3610910,"ZCTA5 10910, New York",8,0,0,0,0,0,0,0,0,8,3,3,1,1,0,0,0
191,8710000US3610911,"ZCTA5 10911, New York",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
192,8710000US3610913,"ZCTA5 10913, New York",1366,1294,170,365,231,287,164,56,21,72,24,12,14,10,9,1,2
193,8710000US3610914,"ZCTA5 10914, New York",123,118,18,43,26,16,9,4,2,5,0,4,1,0,0,0,0
194,8710000US3610915,"ZCTA5 10915, New York",39,26,5,10,6,4,1,0,0,13,5,2,1,2,1,2,0
195,8710000US3610916,"ZCTA5 10916, New York",1271,1156,125,356,237,263,117,36,22,115,42,29,15,17,6,5,1
196,8710000US3610917,"ZCTA5 10917, New York",522,392,43,114,93,71,48,14,9,130,38,52,21,13,4,2,0
197,8710000US3610918,"ZCTA5 10918, New York",3194,2671,436,840,535,516,218,86,40,523,205,164,74,50,22,2,6
198,8710000US3610919,"ZCTA5 10919, New York",300,250,35,89,47,46,23,9,1,50,20,11,8,7,3,0,1
199,8710000US3610920,"ZCTA5 10920, New York",2258,1957,312,645,383,386,146,53,32,301,116,99,34,34,14,4,0
200,8710000US3610921,"ZCTA5 10921, New York",1233,1052,184,352,199,190,88,29,10,181,51,63,38,19,6,4,0
201,8710000US3610922,"ZCTA5 10922, New York",536,403,81,149,75,62,30,6,0,133,58,48,15,12,0,0,0
202,8710000US3610923,"ZCTA5 10923, New York",1723,1315,232,460,257,208,104,42,12,408,202,118,47,26,9,6,0
203,8710000US3610924,"ZCTA5 10924, New York",3719,2734,503,879,486,533,232,72,29,985,529,238,100,78,26,11,3
204,8710000US3610925,"ZCTA5 10925, New York",1678,1258,344,437,227,152,66,19,13,420,207,106,52,36,12,5,2
205,8710000US3610926,"ZCTA5 10926, New York",870,588,168,164,124,86,38,3,5,282,113,95,36,27,8,3,0
