,GEO_ID,NAME,H011B001,H011B002,H011B003,H011B004
0,id,Geographic Area Name,Population in occupied housing units,Population in occupied housing units!!Owned with a mortgage or a loan,Population in occupied housing units!!Owned free and clear,Population in occupied housing units!!Renter occupied
1340,8710000US3613748,"ZCTA5 13748, New York",36,21,13,2
1341,8710000US3613750,"ZCTA5 13750, New York",4,3,1,0
1342,8710000US3613751,"ZCTA5 13751, New York",0,0,0,0
1343,8710000US3613752,"ZCTA5 13752, New York",0,0,0,0
1344,8710000US3613753,"ZCTA5 13753, New York",49,6,14,29
1345,8710000US3613754,"ZCTA5 13754, New York",35,10,0,25
1346,8710000US3613755,"ZCTA5 13755, New York",4,3,1,0
1347,8710000US3613756,"ZCTA5 13756, New York",3,2,1,0
1348,8710000US3613757,"ZCTA5 13757, New York",5,0,5,0
1349,8710000US3613760,"ZCTA5 13760, New York",1423,358,66,999
1350,8710000US3613774,"ZCTA5 13774, New York",3,1,2,0
1351,8710000US3613775,"ZCTA5 13775, New York",4,3,1,0
1352,8710000US3613776,"ZCTA5 13776, New York",4,2,2,0
1353,8710000US3613777,"ZCTA5 13777, New York",3,1,0,2
1354,8710000US3613778,"ZCTA5 13778, New York",23,8,6,9
1355,8710000US3613780,"ZCTA5 13780, New York",5,5,0,0
1356,8710000US3613782,"ZCTA5 13782, New York",0,0,0,0
1357,8710000US3613783,"ZCTA5 13783, New York",84,23,44,17
1358,8710000US3613784,"ZCTA5 13784, New York",0,0,0,0
1359,8710000US3613786,"ZCTA5 13786, New York",16,6,9,1
1360,8710000US3613787,"ZCTA5 13787, New York",11,4,0,7
1361,8710000US3613788,"ZCTA5 13788, New York",13,0,2,11
1362,8710000US3613790,"ZCTA5 13790, New York",987,222,56,709
1363,8710000US3613794,"ZCTA5 13794, New York",0,0,0,0
1364,8710000US3613795,"ZCTA5 13795, New York",29,4,0,25
1365,8710000US3613796,"ZCTA5 13796, New York",2,0,2,0
1366,8710000US3613797,"ZCTA5 13797, New York",0,0,0,0
1367,8710000US3613801,"ZCTA5 13801, New York",9,0,3,6
1368,8710000US3613802,"ZCTA5 13802, New York",0,0,0,0
1369,8710000US3613803,"ZCTA5 13803, New York",13,7,1,5
1370,8710000US3613804,"ZCTA5 13804, New York",0,0,0,0
1371,8710000US3613806,"ZCTA5 13806, New York",0,0,0,0
1372,8710000US3613807,"ZCTA5 13807, New York",4,0,0,4
1373,8710000US3613808,"ZCTA5 13808, New York",8,5,0,3
1374,8710000US3613809,"ZCTA5 13809, New York",1,0,1,0
1375,8710000US3613810,"ZCTA5 13810, New York",4,2,1,1
1376,8710000US3613811,"ZCTA5 13811, New York",7,5,0,2
1377,8710000US3613812,"ZCTA5 13812, New York",6,3,0,3
1378,8710000US3613813,"ZCTA5 13813, New York",4,4,0,0
1379,8710000US3613815,"ZCTA5 13815, New York",123,38,9,76
1380,8710000US3613820,"ZCTA5 13820, New York",418,129,28,261
1381,8710000US3613825,"ZCTA5 13825, New York",15,2,6,7
1382,8710000US3613826,"ZCTA5 13826, New York",0,0,0,0
1383,8710000US3613827,"ZCTA5 13827, New York",93,17,12,64
1384,8710000US3613830,"ZCTA5 13830, New York",27,10,8,9
1385,8710000US3613832,"ZCTA5 13832, New York",3,0,0,3
1386,8710000US3613833,"ZCTA5 13833, New York",4,2,1,1
1387,8710000US3613834,"ZCTA5 13834, New York",1,0,0,1
1388,8710000US3613835,"ZCTA5 13835, New York",3,3,0,0
1389,8710000US3613838,"ZCTA5 13838, New York",21,11,4,6
1390,8710000US3613839,"ZCTA5 13839, New York",17,5,10,2
1391,8710000US3613841,"ZCTA5 13841, New York",0,0,0,0
1392,8710000US3613842,"ZCTA5 13842, New York",5,4,0,1
1393,8710000US3613843,"ZCTA5 13843, New York",5,5,0,0
