"GEO_ID","NAME","H011G001","H011G002","H011G003","H011G004"
"id","Geographic Area Name","Population in occupied housing units","Population in occupied housing units!!Owned with a mortgage or a loan","Population in occupied housing units!!Owned free and clear","Population in occupied housing units!!Renter occupied"
"8710000US3610509","ZCTA5 10509, New York","302","147","13","142"
"8710000US3610510","ZCTA5 10510, New York","98","74","15","9"
"8710000US3610511","ZCTA5 10511, New York","30","12","2","16"
"8710000US3610512","ZCTA5 10512, New York","356","216","25","115"
"8710000US3610514","ZCTA5 10514, New York","95","66","14","15"
"8710000US3610516","ZCTA5 10516, New York","70","43","9","18"
"8710000US3610517","ZCTA5 10517, New York","8","8","0","0"
"8710000US3610518","ZCTA5 10518, New York","30","20","9","1"
"8710000US3610519","ZCTA5 10519, New York","0","0","0","0"
"8710000US3610520","ZCTA5 10520, New York","188","102","2","84"
"8710000US3610522","ZCTA5 10522, New York","146","58","0","88"
"8710000US3610523","ZCTA5 10523, New York","251","98","15","138"
"8710000US3610524","ZCTA5 10524, New York","59","44","4","11"
"8710000US3610526","ZCTA5 10526, New York","19","11","4","4"
"8710000US3610527","ZCTA5 10527, New York","2","0","2","0"
"8710000US3610528","ZCTA5 10528, New York","206","77","9","120"
"8710000US3610530","ZCTA5 10530, New York","173","108","30","35"
"8710000US3610532","ZCTA5 10532, New York","35","26","3","6"
"8710000US3610533","ZCTA5 10533, New York","64","28","10","26"
"8710000US3610535","ZCTA5 10535, New York","14","8","0","6"
"8710000US3610536","ZCTA5 10536, New York","70","31","2","37"
"8710000US3610537","ZCTA5 10537, New York","75","58","1","16"
"8710000US3610538","ZCTA5 10538, New York","164","73","11","80"
"8710000US3610541","ZCTA5 10541, New York","274","216","18","40"
"8710000US3610543","ZCTA5 10543, New York","467","114","21","332"
"8710000US3610545","ZCTA5 10545, New York","0","0","0","0"
"8710000US3610546","ZCTA5 10546, New York","0","0","0","0"
"8710000US3610547","ZCTA5 10547, New York","115","48","5","62"
"8710000US3610548","ZCTA5 10548, New York","57","37","6","14"
"8710000US3610549","ZCTA5 10549, New York","487","129","17","341"
"8710000US3610550","ZCTA5 10550, New York","1492","294","22","1176"
"8710000US3610552","ZCTA5 10552, New York","587","205","40","342"
"8710000US3610553","ZCTA5 10553, New York","282","97","11","174"
"8710000US3610560","ZCTA5 10560, New York","61","43","6","12"
"8710000US3610562","ZCTA5 10562, New York","1120","407","54","659"
"8710000US3610566","ZCTA5 10566, New York","1168","428","19","721"
"8710000US3610567","ZCTA5 10567, New York","346","263","24","59"
"8710000US3610570","ZCTA5 10570, New York","107","41","8","58"
"8710000US3610573","ZCTA5 10573, New York","1475","388","34","1053"
"8710000US3610576","ZCTA5 10576, New York","45","36","1","8"
"8710000US3610577","ZCTA5 10577, New York","16","13","3","0"
"8710000US3610578","ZCTA5 10578, New York","8","8","0","0"
"8710000US3610579","ZCTA5 10579, New York","135","93","12","30"
"8710000US3610580","ZCTA5 10580, New York","140","55","16","69"
"8710000US3610583","ZCTA5 10583, New York","378","223","60","95"
"8710000US3610588","ZCTA5 10588, New York","48","34","0","14"
"8710000US3610589","ZCTA5 10589, New York","38","28","7","3"
"8710000US3610590","ZCTA5 10590, New York","46","39","5","2"
"8710000US3610591","ZCTA5 10591, New York","831","197","15","619"
"8710000US3610594","ZCTA5 10594, New York","58","28","5","25"
"8710000US3610595","ZCTA5 10595, New York","72","40","0","32"
"8710000US3610596","ZCTA5 10596, New York","29","13","2","14"
"8710000US3610597","ZCTA5 10597, New York","3","3","0","0"
"8710000US3610598","ZCTA5 10598, New York","292","199","45","48"
"8710000US3610601","ZCTA5 10601, New York","504","73","11","420"
"8710000US3610603","ZCTA5 10603, New York","594","263","41","290"
"8710000US3610604","ZCTA5 10604, New York","272","78","15","179"
"8710000US3610605","ZCTA5 10605, New York","433","171","41","221"
"8710000US3610606","ZCTA5 10606, New York","825","236","29","560"
