"GEO_ID","NAME","H011C001","H011C002","H011C003","H011C004"
"id","Geographic Area Name","Population in occupied housing units","Population in occupied housing units!!Owned with a mortgage or a loan","Population in occupied housing units!!Owned free and clear","Population in occupied housing units!!Renter occupied"
"8710000US3610532","ZCTA5 10532, New York","2","0","0","2"
"8710000US3610533","ZCTA5 10533, New York","9","4","0","5"
"8710000US3610535","ZCTA5 10535, New York","0","0","0","0"
"8710000US3610536","ZCTA5 10536, New York","16","12","0","4"
"8710000US3610537","ZCTA5 10537, New York","0","0","0","0"
"8710000US3610538","ZCTA5 10538, New York","22","6","0","16"
"8710000US3610541","ZCTA5 10541, New York","24","14","0","10"
"8710000US3610543","ZCTA5 10543, New York","39","20","4","15"
"8710000US3610545","ZCTA5 10545, New York","0","0","0","0"
"8710000US3610546","ZCTA5 10546, New York","0","0","0","0"
"8710000US3610547","ZCTA5 10547, New York","17","14","0","3"
"8710000US3610548","ZCTA5 10548, New York","0","0","0","0"
"8710000US3610549","ZCTA5 10549, New York","76","7","3","66"
"8710000US3610550","ZCTA5 10550, New York","234","33","2","199"
"8710000US3610552","ZCTA5 10552, New York","56","27","10","19"
"8710000US3610553","ZCTA5 10553, New York","41","10","2","29"
"8710000US3610560","ZCTA5 10560, New York","5","5","0","0"
"8710000US3610562","ZCTA5 10562, New York","149","48","0","101"
"8710000US3610566","ZCTA5 10566, New York","107","33","2","72"
"8710000US3610567","ZCTA5 10567, New York","41","28","4","9"
"8710000US3610570","ZCTA5 10570, New York","8","1","0","7"
"8710000US3610573","ZCTA5 10573, New York","304","66","3","235"
"8710000US3610576","ZCTA5 10576, New York","6","2","0","4"
"8710000US3610577","ZCTA5 10577, New York","0","0","0","0"
"8710000US3610578","ZCTA5 10578, New York","0","0","0","0"
"8710000US3610579","ZCTA5 10579, New York","4","0","0","4"
"8710000US3610580","ZCTA5 10580, New York","19","6","4","9"
"8710000US3610583","ZCTA5 10583, New York","23","13","0","10"
"8710000US3610588","ZCTA5 10588, New York","0","0","0","0"
"8710000US3610589","ZCTA5 10589, New York","17","11","5","1"
"8710000US3610590","ZCTA5 10590, New York","3","3","0","0"
"8710000US3610591","ZCTA5 10591, New York","136","27","0","109"
"8710000US3610594","ZCTA5 10594, New York","4","0","2","2"
"8710000US3610595","ZCTA5 10595, New York","2","2","0","0"
"8710000US3610596","ZCTA5 10596, New York","9","2","0","7"
"8710000US3610597","ZCTA5 10597, New York","0","0","0","0"
"8710000US3610598","ZCTA5 10598, New York","33","25","0","8"
"8710000US3610601","ZCTA5 10601, New York","68","0","0","68"
"8710000US3610603","ZCTA5 10603, New York","147","33","6","108"
"8710000US3610604","ZCTA5 10604, New York","39","4","2","33"
"8710000US3610605","ZCTA5 10605, New York","65","12","0","53"
"8710000US3610606","ZCTA5 10606, New York","142","27","3","112"
"8710000US3610607","ZCTA5 10607, New York","26","15","0","11"
"8710000US3610701","ZCTA5 10701, New York","661","58","14","589"
"8710000US3610703","ZCTA5 10703, New York","75","42","1","32"
"8710000US3610704","ZCTA5 10704, New York","101","57","4","40"
"8710000US3610705","ZCTA5 10705, New York","411","46","10","355"
"8710000US3610706","ZCTA5 10706, New York","12","1","0","11"
"8710000US3610707","ZCTA5 10707, New York","15","9","2","4"
"8710000US3610708","ZCTA5 10708, New York","19","12","2","5"
"8710000US3610709","ZCTA5 10709, New York","13","0","3","10"
"8710000US3610710","ZCTA5 10710, New York","102","46","1","55"
"8710000US3610801","ZCTA5 10801, New York","361","66","6","289"
"8710000US3610803","ZCTA5 10803, New York","8","2","0","6"
"8710000US3610804","ZCTA5 10804, New York","1","1","0","0"
"8710000US3610805","ZCTA5 10805, New York","40","4","2","34"
"8710000US3610901","ZCTA5 10901, New York","69","22","2","45"
"8710000US3610910","ZCTA5 10910, New York","0","0","0","0"
"8710000US3610911","ZCTA5 10911, New York","0","0","0","0"
"8710000US3610913","ZCTA5 10913, New York","0","0","0","0"
"8710000US3610914","ZCTA5 10914, New York","0","0","0","0"
"8710000US3610915","ZCTA5 10915, New York","0","0","0","0"
"8710000US3610916","ZCTA5 10916, New York","10","0","0","10"
"8710000US3610917","ZCTA5 10917, New York","12","6","1","5"
"8710000US3610918","ZCTA5 10918, New York","42","28","0","14"
"8710000US3610919","ZCTA5 10919, New York","4","4","0","0"
"8710000US3610920","ZCTA5 10920, New York","25","6","0","19"
"8710000US3610921","ZCTA5 10921, New York","16","5","6","5"
"8710000US3610922","ZCTA5 10922, New York","22","4","2","16"
"8710000US3610923","ZCTA5 10923, New York","27","10","0","17"
"8710000US3610924","ZCTA5 10924, New York","62","22","3","37"
"8710000US3610925","ZCTA5 10925, New York","19","8","1","10"
"8710000US3610926","ZCTA5 10926, New York","16","11","1","4"
"8710000US3610927","ZCTA5 10927, New York","86","14","1","71"
"8710000US3610928","ZCTA5 10928, New York","27","0","1","26"
"8710000US3610930","ZCTA5 10930, New York","17","16","0","1"
"8710000US3610931","ZCTA5 10931, New York","103","55","12","36"
"8710000US3610932","ZCTA5 10932, New York","0","0","0","0"
"8710000US3610933","ZCTA5 10933, New York","0","0","0","0"
"8710000US3610940","ZCTA5 10940, New York","292","92","13","187"
"8710000US3610941","ZCTA5 10941, New York","75","42","6","27"
"8710000US3610950","ZCTA5 10950, New York","102","60","1","41"
"8710000US3610952","ZCTA5 10952, New York","27","6","0","21"
"8710000US3610953","ZCTA5 10953, New York","0","0","0","0"
"8710000US3610954","ZCTA5 10954, New York","36","12","4","20"
"8710000US3610956","ZCTA5 10956, New York","24","20","0","4"
"8710000US3610958","ZCTA5 10958, New York","2","2","0","0"
"8710000US3610960","ZCTA5 10960, New York","28","9","0","19"
"8710000US3610962","ZCTA5 10962, New York","14","11","0","3"
"8710000US3610963","ZCTA5 10963, New York","17","17","0","0"
"8710000US3610964","ZCTA5 10964, New York","6","6","0","0"
"8710000US3610965","ZCTA5 10965, New York","20","9","0","11"
"8710000US3610968","ZCTA5 10968, New York","0","0","0","0"
"8710000US3610969","ZCTA5 10969, New York","2","2","0","0"
"8710000US3610970","ZCTA5 10970, New York","35","26","0","9"
"8710000US3610973","ZCTA5 10973, New York","4","4","0","0"
