"GEO_ID","NAME","H011I001","H011I002","H011I003","H011I004"
"id","Geographic Area Name","Population in occupied housing units","Population in occupied housing units!!Owned with a mortgage or a loan","Population in occupied housing units!!Owned free and clear","Population in occupied housing units!!Renter occupied"
"8710000US3610279","ZCTA5 10279, New York","0","0","0","0"
"8710000US3610280","ZCTA5 10280, New York","5205","963","302","3940"
"8710000US3610282","ZCTA5 10282, New York","3626","189","58","3379"
"8710000US3610301","ZCTA5 10301, New York","16099","7546","2784","5769"
"8710000US3610302","ZCTA5 10302, New York","6665","3513","1239","1913"
"8710000US3610303","ZCTA5 10303, New York","5213","2772","906","1535"
"8710000US3610304","ZCTA5 10304, New York","15548","8723","2988","3837"
"8710000US3610305","ZCTA5 10305, New York","28107","15617","4093","8397"
"8710000US3610306","ZCTA5 10306, New York","45378","27288","7807","10283"
"8710000US3610307","ZCTA5 10307, New York","12543","8696","1540","2307"
"8710000US3610308","ZCTA5 10308, New York","24342","16062","4357","3923"
"8710000US3610309","ZCTA5 10309, New York","27900","19826","3317","4757"
"8710000US3610310","ZCTA5 10310, New York","10767","6617","1889","2261"
"8710000US3610311","ZCTA5 10311, New York","0","0","0","0"
"8710000US3610312","ZCTA5 10312, New York","51150","35202","8719","7229"
"8710000US3610314","ZCTA5 10314, New York","58269","35250","10373","12646"
"8710000US3610451","ZCTA5 10451, New York","899","180","77","642"
"8710000US3610452","ZCTA5 10452, New York","780","33","22","725"
"8710000US3610453","ZCTA5 10453, New York","798","53","64","681"
"8710000US3610454","ZCTA5 10454, New York","620","98","38","484"
"8710000US3610455","ZCTA5 10455, New York","411","25","6","380"
"8710000US3610456","ZCTA5 10456, New York","738","50","20","668"
"8710000US3610457","ZCTA5 10457, New York","942","89","56","797"
"8710000US3610458","ZCTA5 10458, New York","6462","291","263","5908"
"8710000US3610459","ZCTA5 10459, New York","410","52","6","352"
"8710000US3610460","ZCTA5 10460, New York","1344","143","187","1014"
"8710000US3610461","ZCTA5 10461, New York","21330","6376","3908","11046"
"8710000US3610462","ZCTA5 10462, New York","11667","2301","1407","7959"
"8710000US3610463","ZCTA5 10463, New York","23708","6294","4654","12760"
"8710000US3610464","ZCTA5 10464, New York","3530","1570","728","1232"
"8710000US3610465","ZCTA5 10465, New York","20799","9985","4857","5957"
"8710000US3610466","ZCTA5 10466, New York","1824","314","508","1002"
"8710000US3610467","ZCTA5 10467, New York","9541","506","668","8367"
"8710000US3610468","ZCTA5 10468, New York","3244","228","392","2624"
"8710000US3610469","ZCTA5 10469, New York","8210","3245","2209","2756"
"8710000US3610470","ZCTA5 10470, New York","6656","1613","1065","3978"
"8710000US3610471","ZCTA5 10471, New York","12758","4970","2411","5377"
"8710000US3610472","ZCTA5 10472, New York","1332","194","189","949"
"8710000US3610473","ZCTA5 10473, New York","1140","367","204","569"
"8710000US3610474","ZCTA5 10474, New York","85","12","0","73"
"8710000US3610475","ZCTA5 10475, New York","3695","589","1020","2086"
"8710000US3610501","ZCTA5 10501, New York","1107","836","233","38"
