,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_HOUSEHOLD SIZE,1-person household,2-person household,3-person household,4-person household,5-person household,6-person household,7-or-more-person household
10,10013.0,166,374,44.39,10013,New York,NY,40.720665999999994,-74.00525999999999,"40.720666,-74.00526",1361,8710000US3610013,"ZCTA5 10013, New York",12096,39.2,32.01,13.93,9.78,3.1,1.17,0.81
11,10014.0,216,472,45.76,10014,New York,NY,40.734718,-74.00532,"40.734718,-74.00532",734,8710000US3610014,"ZCTA5 10014, New York",19790,58.65,30.1,6.8,3.28,0.91,0.18,0.08
12,10016.0,454,1044,43.49,10016,New York,NY,40.746179999999995,-73.97759,"40.74618,-73.97759",1061,8710000US3610016,"ZCTA5 10016, New York",32173,54.61,33.04,8.32,3.11,0.65,0.19,0.08
13,10017.0,95,273,34.8,10017,New York,NY,40.752159000000006,-73.97231,"40.752159,-73.97231",1518,8710000US3610017,"ZCTA5 10017, New York",10763,62.0,28.06,6.55,2.66,0.57,0.12,0.05
14,10018.0,159,339,46.9,10018,New York,NY,40.755101,-73.99337,"40.755101,-73.99337",832,8710000US3610018,"ZCTA5 10018, New York",3065,56.51,29.76,8.94,3.07,1.14,0.49,0.1
15,10019.0,350,787,44.47,10019,New York,NY,40.765714,-73.9856,"40.765714,-73.9856",519,8710000US3610019,"ZCTA5 10019, New York",25905,56.01,31.51,7.8,3.37,0.8,0.32,0.19
16,10021.0,400,1011,39.56,10021,New York,NY,40.76842,-73.96045,"40.76842,-73.96045",344,8710000US3610021,"ZCTA5 10021, New York",24734,54.47,29.9,8.01,5.67,1.57,0.3,0.08
17,10022.0,231,584,39.55,10022,New York,NY,40.759015000000005,-73.96732,"40.759015,-73.96732",1709,8710000US3610022,"ZCTA5 10022, New York",19253,56.39,31.81,6.81,4.02,0.75,0.17,0.05
18,10023.0,368,900,40.89,10023,New York,NY,40.776099,-73.98285,"40.776099,-73.98285",809,8710000US3610023,"ZCTA5 10023, New York",34383,54.27,29.42,8.72,5.64,1.54,0.3,0.12
19,10024.0,400,1035,38.65,10024,New York,NY,40.786387,-73.97709,"40.786387,-73.97709",716,8710000US3610024,"ZCTA5 10024, New York",30836,48.11,31.02,10.07,7.67,2.38,0.53,0.23
20,10025.0,685,1544,44.37,10025,New York,NY,40.798502,-73.96811,"40.798502,-73.96811",157,8710000US3610025,"ZCTA5 10025, New York",44432,44.54,30.86,12.79,7.96,2.56,0.73,0.55
21,10026.0,334,650,51.38,10026,New York,NY,40.802853000000006,-73.95470999999999,"40.802853,-73.95471",1657,8710000US3610026,"ZCTA5 10026, New York",14199,38.05,28.48,15.15,9.88,4.75,1.89,1.8
22,10027.0,496,949,52.27,10027,New York,NY,40.812665,-73.95499000000001,"40.812665,-73.95499",291,8710000US3610027,"ZCTA5 10027, New York",22839,37.94,29.75,14.88,9.45,4.63,1.8,1.56
23,10028.0,330,844,39.1,10028,New York,NY,40.776777,-73.9541,"40.776777,-73.9541",1403,8710000US3610028,"ZCTA5 10028, New York",25158,51.63,30.3,8.8,6.82,1.91,0.46,0.08
24,10029.0,889,1654,53.75,10029,New York,NY,40.791585999999995,-73.94575,"40.791586,-73.94575",468,8710000US3610029,"ZCTA5 10029, New York",29378,34.55,27.96,16.1,10.58,5.74,2.71,2.35
