,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_SEX BY AGE,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
34,10039.0,277,504,54.96,10039,New York,NY,40.826181,-73.9371,"40.826181,-73.9371",643,8710000US3610039,"ZCTA5 10039, New York",24527,10992,856,873,817,593,379,198,205,561,879,834,789,824,797,676,457,164,186,129,154,234,169,110,108,13535,799,824,838,599,371,220,190,610,1087,1110,939,986,954,871,673,263,367,225,316,418,327,256,292
35,10040.0,532,829,64.17,10040,New York,NY,40.858703999999996,-73.92853000000001,"40.858704,-73.92853",1436,8710000US3610040,"ZCTA5 10040, New York",41905,19326,1257,988,1138,796,572,333,297,1083,1735,1596,1480,1399,1385,1273,1127,381,544,252,334,500,315,280,261,22579,1212,1136,1135,817,560,305,319,1155,1911,1695,1549,1510,1433,1544,1460,534,705,366,518,775,587,568,785
36,10044.0,95,207,45.89,10044,New York,NY,40.762174,-73.94917,"40.762174,-73.94917",1792,8710000US3610044,"ZCTA5 10044, New York",11661,5710,312,195,234,166,96,59,39,229,510,550,420,415,450,388,485,174,217,111,153,183,129,116,79,5951,290,244,215,171,107,66,57,270,582,555,455,382,406,432,385,159,202,135,148,158,201,145,186
37,10069.0,37,96,38.54,10069,New York,NY,40.775477,-73.9905,"40.775477,-73.9905",782,8710000US3610069,"ZCTA5 10069, New York",5199,2451,239,126,50,33,13,7,11,65,221,347,374,221,186,121,126,41,66,37,51,51,27,23,15,2748,237,124,69,25,13,16,20,101,325,421,369,258,164,168,114,40,57,42,62,60,27,24,12
38,10128.0,424,1075,39.44,10128,New York,NY,40.781894,-73.95039,"40.781894,-73.95039",1350,8710000US3610128,"ZCTA5 10128, New York",60453,26876,1585,1244,1046,607,317,166,174,1313,3223,2872,2241,2022,1908,1656,1570,578,924,470,683,882,631,423,341,33577,1505,1186,1118,647,326,230,225,2102,4716,3487,2533,2328,2036,2022,2053,829,1279,674,928,1119,863,672,699
39,10280.0,30,87,34.48,10280,New York,NY,40.707467,-74.0178,"40.707467,-74.0178",1472,8710000US3610280,"ZCTA5 10280, New York",7853,3786,295,167,107,66,22,10,12,123,395,497,517,389,287,263,206,93,85,49,51,57,35,34,26,4067,299,173,129,78,29,11,23,170,473,566,442,377,316,289,215,97,108,46,55,67,44,34,26
40,10282.0,50,99,50.51,10282,New York,NY,40.717178999999994,-74.01433,"40.717179,-74.01433",847,8710000US3610282,"ZCTA5 10282, New York",4783,2331,348,110,61,27,11,1,7,68,229,417,379,244,134,93,62,21,28,7,10,14,9,10,41,2452,334,123,62,23,13,7,3,71,270,466,368,217,101,62,72,20,26,12,7,29,18,35,113
41,10301.0,660,1224,53.92,10301,Staten Island,NY,40.631775,-74.09432,"40.631775,-74.09432",1273,8710000US3610301,"ZCTA5 10301, New York",39706,19279,1287,1201,1203,765,679,383,365,845,1486,1321,1290,1294,1464,1428,1295,440,589,317,393,498,324,230,182,20427,1137,1246,1160,784,880,433,436,892,1366,1362,1281,1402,1471,1386,1295,482,625,370,441,592,499,428,459
42,10302.0,353,662,53.32,10302,Staten Island,NY,40.631127,-74.13715,"40.631127,-74.13715",1412,8710000US3610302,"ZCTA5 10302, New York",19088,9605,733,740,755,483,342,150,146,504,791,687,644,704,657,604,518,194,236,111,127,166,140,104,69,9483,713,699,662,450,298,133,134,406,674,658,631,724,658,589,520,220,261,128,174,256,184,148,163
43,10303.0,527,942,55.94,10303,Staten Island,NY,40.629448,-74.16239,"40.629448,-74.16239",985,8710000US3610303,"ZCTA5 10303, New York",26337,12625,1027,1017,1204,738,456,248,213,558,934,784,867,951,921,860,625,207,253,125,178,183,128,80,68,13712,993,1047,1110,700,445,236,219,583,912,987,1075,1083,1015,925,762,253,310,160,209,237,166,138,147
44,10304.0,834,1623,51.39,10304,Staten Island,NY,40.60787,-74.08991,"40.60787,-74.08991",1466,8710000US3610304,"ZCTA5 10304, New York",42193,20206,1403,1451,1543,1089,668,348,335,915,1376,1222,1227,1343,1477,1461,1237,451,581,311,371,516,372,282,227,21987,1399,1417,1486,921,560,309,269,850,1525,1394,1439,1497,1701,1625,1409,508,597,318,475,653,516,491,628
45,10305.0,746,1591,46.89,10305,Staten Island,NY,40.599021,-74.07503,"40.599021,-74.07503",1653,8710000US3610305,"ZCTA5 10305, New York",41749,20292,1244,1275,1248,811,508,311,293,812,1479,1392,1477,1509,1602,1595,1401,458,631,326,406,567,439,301,207,21457,1174,1216,1214,773,551,283,288,785,1427,1500,1402,1537,1629,1779,1442,550,719,393,504,709,607,476,499
