,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_RACE,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
31,10036.0,241,523,46.08,10036,New York,NY,40.759510999999996,-73.99019,"40.759511,-73.99019",1529,8710000US3610036,"ZCTA5 10036, New York",24711,15736,2301,91,4224,17,1436,906
32,10037.0,246,427,57.61,10037,New York,NY,40.813385,-73.93616,"40.813385,-73.93616",1043,8710000US3610037,"ZCTA5 10037, New York",17416,1465,13451,115,299,5,1376,705
33,10038.0,159,314,50.64,10038,New York,NY,40.709677,-74.00365,"40.709677,-74.00365",555,8710000US3610038,"ZCTA5 10038, New York",20300,10819,1630,45,6068,14,1021,703
34,10039.0,277,504,54.96,10039,New York,NY,40.826181,-73.9371,"40.826181,-73.9371",643,8710000US3610039,"ZCTA5 10039, New York",24527,2636,17120,173,442,7,3204,945
35,10040.0,532,829,64.17,10040,New York,NY,40.858703999999996,-73.92853000000001,"40.858704,-73.92853",1436,8710000US3610040,"ZCTA5 10040, New York",41905,16204,4623,535,1141,23,16172,3207
36,10044.0,95,207,45.89,10044,New York,NY,40.762174,-73.94917,"40.762174,-73.94917",1792,8710000US3610044,"ZCTA5 10044, New York",11661,5952,2482,26,2125,50,483,543
37,10069.0,37,96,38.54,10069,New York,NY,40.775477,-73.9905,"40.775477,-73.9905",782,8710000US3610069,"ZCTA5 10069, New York",5199,3750,186,3,1048,0,66,146
38,10128.0,424,1075,39.44,10128,New York,NY,40.781894,-73.95039,"40.781894,-73.95039",1350,8710000US3610128,"ZCTA5 10128, New York",60453,48582,2854,94,5817,21,1468,1617
39,10280.0,30,87,34.48,10280,New York,NY,40.707467,-74.0178,"40.707467,-74.0178",1472,8710000US3610280,"ZCTA5 10280, New York",7853,5464,235,9,1752,6,109,278
40,10282.0,50,99,50.51,10282,New York,NY,40.717178999999994,-74.01433,"40.717179,-74.01433",847,8710000US3610282,"ZCTA5 10282, New York",4783,3756,115,2,645,2,89,174
41,10301.0,660,1224,53.92,10301,Staten Island,NY,40.631775,-74.09432,"40.631775,-74.09432",1273,8710000US3610301,"ZCTA5 10301, New York",39706,21597,9762,232,2651,30,3741,1693
42,10302.0,353,662,53.32,10302,Staten Island,NY,40.631127,-74.13715,"40.631127,-74.13715",1412,8710000US3610302,"ZCTA5 10302, New York",19088,9367,4010,155,814,27,3753,962
43,10303.0,527,942,55.94,10303,Staten Island,NY,40.629448,-74.16239,"40.629448,-74.16239",985,8710000US3610303,"ZCTA5 10303, New York",26337,8918,9882,236,2079,11,3996,1215
44,10304.0,834,1623,51.39,10304,Staten Island,NY,40.60787,-74.08991,"40.60787,-74.08991",1466,8710000US3610304,"ZCTA5 10304, New York",42193,20187,12169,271,4028,16,4121,1401
45,10305.0,746,1591,46.89,10305,Staten Island,NY,40.599021,-74.07503,"40.599021,-74.07503",1653,8710000US3610305,"ZCTA5 10305, New York",41749,31831,1828,119,4558,30,2348,1035
46,10306.0,941,2098,44.85,10306,Staten Island,NY,40.569394,-74.11785,"40.569394,-74.11785",485,8710000US3610306,"ZCTA5 10306, New York",55909,49134,1181,155,2543,11,1834,1051
47,10307.0,255,541,47.13,10307,Staten Island,NY,40.508274,-74.24387,"40.508274,-74.24387",1742,8710000US3610307,"ZCTA5 10307, New York",14096,13170,86,24,350,5,269,192
48,10308.0,450,1055,42.65,10308,Staten Island,NY,40.551353000000006,-74.15098,"40.551353,-74.15098",71,8710000US3610308,"ZCTA5 10308, New York",27357,25604,141,31,798,11,422,350
49,10309.0,594,1345,44.16,10309,Staten Island,NY,40.529749,-74.21304,"40.529749,-74.21304",1128,8710000US3610309,"ZCTA5 10309, New York",32519,29611,769,18,1243,9,514,355
50,10310.0,413,876,47.15,10310,Staten Island,NY,40.63212,-74.11551,"40.63212,-74.11551",1787,8710000US3610310,"ZCTA5 10310, New York",24962,13507,5814,158,1388,2,3068,1025
51,10312.0,1065,2225,47.87,10312,Staten Island,NY,40.543116999999995,-74.17628,"40.543117,-74.17628",937,8710000US3610312,"ZCTA5 10312, New York",59304,53858,575,86,3213,20,773,779
52,10314.0,1679,3460,48.53,10314,Staten Island,NY,40.606336999999996,-74.14513000000001,"40.606337,-74.14513",565,8710000US3610314,"ZCTA5 10314, New York",85510,64893,3640,210,11499,41,3167,2060
53,10451.0,855,1411,60.6,10451,Bronx,NY,40.819728999999995,-73.9223,"40.819729,-73.9223",1678,8710000US3610451,"ZCTA5 10451, New York",45713,8698,19826,736,740,38,12939,2736
54,10452.0,1156,1770,65.31,10452,Bronx,NY,40.838745,-73.92234,"40.838745,-73.92234",1295,8710000US3610452,"ZCTA5 10452, New York",75371,14470,27184,1211,1114,56,26608,4728
