,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,0,id,Geographic Area Name,Total_TOTAL POPULATION
74,10472.0,1694,3365,50.34,10472,Bronx,NY,40.830409,-73.86845,"40.830409,-73.86845",903,8710000US3610472,"ZCTA5 10472, New York",66358
75,10473.0,1709,3859,44.29,10473,Bronx,NY,40.818514,-73.85893,"40.818514,-73.85893",1628,8710000US3610473,"ZCTA5 10473, New York",58519
76,10474.0,286,645,44.34,10474,Bronx,NY,40.81321,-73.88755,"40.81321,-73.88755",285,8710000US3610474,"ZCTA5 10474, New York",12281
77,10475.0,1545,3807,40.58,10475,Bronx,NY,40.878522,-73.82540999999999,"40.878522,-73.82541",1208,8710000US3610475,"ZCTA5 10475, New York",40931
78,11004.0,515,943,54.61,11004,Glen Oaks,NY,40.742944,-73.70956,"40.742944,-73.70956",1783,8710000US3611004,"ZCTA5 11004, New York",14016
79,11101.0,542,1450,37.38,11101,Long Island City,NY,40.745340999999996,-73.93907,"40.745341,-73.93907",1394,8710000US3611101,"ZCTA5 11101, New York",25484
80,11102.0,528,1235,42.75,11102,Astoria,NY,40.771285999999996,-73.92461999999999,"40.771286,-73.92462",1215,8710000US3611102,"ZCTA5 11102, New York",34133
81,11103.0,465,1169,39.78,11103,Astoria,NY,40.762968,-73.91091,"40.762968,-73.91091",101,8710000US3611103,"ZCTA5 11103, New York",38780
82,11104.0,418,1006,41.55,11104,Sunnyside,NY,40.743796,-73.91949,"40.743796,-73.91949",161,8710000US3611104,"ZCTA5 11104, New York",27232
83,11105.0,433,1247,34.72,11105,Astoria,NY,40.774685999999996,-73.90816,"40.774686,-73.90816",1410,8710000US3611105,"ZCTA5 11105, New York",36688
84,11106.0,560,1383,40.49,11106,Astoria,NY,40.762012,-73.93146999999999,"40.762012,-73.93147",7,8710000US3611106,"ZCTA5 11106, New York",38875
85,11109.0,46,191,24.08,11109,Long Island City,NY,40.651378,-73.870779,"40.651378,-73.870779",380,8710000US3611109,"ZCTA5 11109, New York",3523
86,11201.0,544,1756,30.98,11201,Brooklyn,NY,40.695285999999996,-73.98907,"40.695286,-73.98907",1495,8710000US3611201,"ZCTA5 11201, New York",51128
87,11203.0,1771,3732,47.45,11203,Brooklyn,NY,40.649059,-73.93304,"40.649059,-73.93304",1260,8710000US3611203,"ZCTA5 11203, New York",76174
88,11204.0,1705,3826,44.56,11204,Brooklyn,NY,40.618944,-73.98473,"40.618944,-73.98473",1274,8710000US3611204,"ZCTA5 11204, New York",78134
89,11205.0,613,1738,35.27,11205,Brooklyn,NY,40.694214,-73.96529,"40.694214,-73.96529",1010,8710000US3611205,"ZCTA5 11205, New York",40366
90,11206.0,1315,3096,42.47,11206,Brooklyn,NY,40.702348,-73.94288,"40.702348,-73.94288",585,8710000US3611206,"ZCTA5 11206, New York",81677
91,11207.0,1745,3876,45.02,11207,Brooklyn,NY,40.670874,-73.89424,"40.670874,-73.89424",836,8710000US3611207,"ZCTA5 11207, New York",93386
92,11208.0,1953,3945,49.51,11208,Brooklyn,NY,40.672666,-73.87248000000001,"40.672666,-73.87248",1506,8710000US3611208,"ZCTA5 11208, New York",94469
93,11209.0,985,2658,37.06,11209,Brooklyn,NY,40.62327,-74.0295,"40.62327,-74.0295",1672,8710000US3611209,"ZCTA5 11209, New York",68853
94,11210.0,1466,3177,46.14,11210,Brooklyn,NY,40.627946,-73.94552,"40.627946,-73.94552",425,8710000US3611210,"ZCTA5 11210, New York",62008
95,11211.0,1769,4235,41.77,11211,Brooklyn,NY,40.71209,-73.95427,"40.71209,-73.95427",662,8710000US3611211,"ZCTA5 11211, New York",90117
96,11212.0,1534,3413,44.95,11212,Brooklyn,NY,40.662191,-73.91328,"40.662191,-73.91328",938,8710000US3611212,"ZCTA5 11212, New York",84500
97,11213.0,1215,2650,45.85,11213,Brooklyn,NY,40.670937,-73.93459,"40.670937,-73.93459",9,8710000US3611213,"ZCTA5 11213, New York",63767
98,11214.0,1316,2949,44.63,11214,Brooklyn,NY,40.598994,-73.99611,"40.598994,-73.99611",949,8710000US3611214,"ZCTA5 11214, New York",88630
99,11215.0,536,1688,31.75,11215,Brooklyn,NY,40.667508000000005,-73.9856,"40.667508,-73.9856",926,8710000US3611215,"ZCTA5 11215, New York",63488
100,11216.0,617,1599,38.59,11216,Brooklyn,NY,40.680398,-73.94824,"40.680398,-73.94824",961,8710000US3611216,"ZCTA5 11216, New York",54316
101,11217.0,494,1190,41.51,11217,Brooklyn,NY,40.68209,-73.97783000000001,"40.68209,-73.97783",40,8710000US3611217,"ZCTA5 11217, New York",35881
102,11218.0,1476,3185,46.34,11218,Brooklyn,NY,40.644552000000004,-73.97595,"40.644552,-73.97595",191,8710000US3611218,"ZCTA5 11218, New York",75220
103,11219.0,2443,5615,43.51,11219,Brooklyn,NY,40.632449,-73.99629,"40.632449,-73.99629",1395,8710000US3611219,"ZCTA5 11219, New York",92221
104,11220.0,1287,2691,47.83,11220,Brooklyn,NY,40.641436,-74.01574000000001,"40.641436,-74.01574",160,8710000US3611220,"ZCTA5 11220, New York",99598
105,11221.0,1080,2465,43.81,11221,Brooklyn,NY,40.691234,-73.92636999999999,"40.691234,-73.92637",807,8710000US3611221,"ZCTA5 11221, New York",78895
106,11222.0,384,1006,38.17,11222,Brooklyn,NY,40.726302000000004,-73.94559,"40.726302,-73.94559",1278,8710000US3611222,"ZCTA5 11222, New York",36934
107,11223.0,1459,3349,43.57,11223,Brooklyn,NY,40.598141999999996,-73.97229,"40.598142,-73.97229",969,8710000US3611223,"ZCTA5 11223, New York",78731
108,11224.0,960,2132,45.03,11224,Brooklyn,NY,40.576589,-73.99172,"40.576589,-73.99172",1126,8710000US3611224,"ZCTA5 11224, New York",47621
