,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip,City,State,Latitude,Longitude,geopoint,Median household income (dollars),Median family income (dollars),Median nonfamily income (dollars),Median earnings for workers (dollars),"Median earnings for male full-time, year-round workers (dollars)","Median earnings for female full-time, year-round workers (dollars)"
81,11103.0,465,1169,39.78,11103,Astoria,NY,40.762968,-73.91091,"40.762968,-73.91091",62775,63628,60993,40532,51281,50067
82,11104.0,418,1006,41.55,11104,Sunnyside,NY,40.743796,-73.91949,"40.743796,-73.91949",57155,65518,51515,39467,47787,48570
83,11105.0,433,1247,34.72,11105,Astoria,NY,40.774685999999996,-73.90816,"40.774686,-73.90816",62841,73422,56568,41091,51434,53516
84,11106.0,560,1383,40.49,11106,Astoria,NY,40.762012,-73.93146999999999,"40.762012,-73.93147",56442,60397,52005,40385,55578,48683
85,11109.0,46,191,24.08,11109,Long Island City,NY,40.651378,-73.870779,"40.651378,-73.870779",133070,171283,100710,100385,112098,100379
86,11201.0,544,1756,30.98,11201,Brooklyn,NY,40.695285999999996,-73.98907,"40.695286,-73.98907",109472,149375,85645,71378,102343,83660
87,11203.0,1771,3732,47.45,11203,Brooklyn,NY,40.649059,-73.93304,"40.649059,-73.93304",46971,58606,26580,34059,45407,41307
88,11204.0,1705,3826,44.56,11204,Brooklyn,NY,40.618944,-73.98473,"40.618944,-73.98473",47135,52371,27138,27700,40960,41110
89,11205.0,613,1738,35.27,11205,Brooklyn,NY,40.694214,-73.96529,"40.694214,-73.96529",47437,49130,41250,31492,46664,51839
90,11206.0,1315,3096,42.47,11206,Brooklyn,NY,40.702348,-73.94288,"40.702348,-73.94288",31549,30548,31112,26384,41125,38591
91,11207.0,1745,3876,45.02,11207,Brooklyn,NY,40.670874,-73.89424,"40.670874,-73.89424",35849,42395,18025,28290,38353,35629
92,11208.0,1953,3945,49.51,11208,Brooklyn,NY,40.672666,-73.87248000000001,"40.672666,-73.87248",37640,43160,22775,30174,36296,35716
93,11209.0,985,2658,37.06,11209,Brooklyn,NY,40.62327,-74.0295,"40.62327,-74.0295",65181,84253,49411,48163,62091,60590
94,11210.0,1466,3177,46.14,11210,Brooklyn,NY,40.627946,-73.94552,"40.627946,-73.94552",59520,68422,36286,35193,46479,41667
95,11211.0,1769,4235,41.77,11211,Brooklyn,NY,40.71209,-73.95427,"40.71209,-73.95427",59190,49495,68280,42089,64630,53804
96,11212.0,1534,3413,44.95,11212,Brooklyn,NY,40.662191,-73.91328,"40.662191,-73.91328",28495,35301,16721,26233,36180,34380
97,11213.0,1215,2650,45.85,11213,Brooklyn,NY,40.670937,-73.93459,"40.670937,-73.93459",37556,44729,25623,30139,42491,36606
98,11214.0,1316,2949,44.63,11214,Brooklyn,NY,40.598994,-73.99611,"40.598994,-73.99611",52119,59821,34776,31510,42485,40824
99,11215.0,536,1688,31.75,11215,Brooklyn,NY,40.667508000000005,-73.9856,"40.667508,-73.9856",108178,137183,81701,61680,81933,72116
100,11216.0,617,1599,38.59,11216,Brooklyn,NY,40.680398,-73.94824,"40.680398,-73.94824",52239,58848,42160,37252,50731,44776
101,11217.0,494,1190,41.51,11217,Brooklyn,NY,40.68209,-73.97783000000001,"40.68209,-73.97783",94970,113880,81400,61230,81154,67208
